prior,Ha,Hb,N2a,N2b,O2,O3a,O3b,S2a,S2b
0.1490755305706697,1.0,0.21527323203495746,0.010466729815951273,0.03140018944785381,0.08435792595587946,0.4398864124317668,1.3196592372953002,0.028059844443524832,0.028059844443524832
0.07941153717218082,1.0,0.2501673986465427,0.029268374000144367,0.0878051220004331,0.23690429225418605,0.35403012595075295,1.0620903778522588,0.07880639429807045,0.07880639429807045
0.07448619097965394,1.0,0.2076727983589636,0.02938799220714489,0.08816397662143466,0.19093894709040504,0.31064763220716224,0.9319428966214868,0.06817080340770636,0.06817080340770636
0.0836341834498053,1.0,0.21016335156372243,0.06440391624334521,0.1932117487300356,0.3669710450400428,0.1953758643561979,0.5861275930685937,0.13687431199664274,0.13687431199664274
0.10897006111555223,1.0,0.25265724348306046,0.07692548702804859,0.23077646108414582,0.5447397255179921,0.18251239445665077,0.547537183369952,0.18970065531823657,0.18970065531823657
0.11241264601975295,1.0,0.21198221212598845,0.12594514291490158,0.3778354287447048,0.6972604159726453,0.08402197249928901,0.252065917497867,0.2635827324745622,0.2635827324745622
0.0786959436808582,1.0,0.25692000934840503,0.17125354413089894,0.5137606323926968,1.1460614576238624,0.03850535284869001,0.11551605854607,0.4075532908055658,0.4075532908055658
0.1563539544598881,1.0,0.21479476159755825,0.23473597288739786,0.7042079186621937,1.0544457958987699,0.010056457662817365,0.03016937298845209,0.4244743828666772,0.4244743828666772
0.050942520436318625,1.0,0.2571557779451658,0.44022564372548906,1.320676931176467,2.1399093374163876,0.00027480503890046985,0.0008244151167014099,0.6946190820206617,0.6946190820206617
0.10601743211532015,1.0,0.2135585664293682,0.46097215587013834,1.3829164676104149,1.5702355090599296,0.00020482150129857957,0.0006144645038957384,0.5984753592063108,0.5984753592063108
